id,Filename,Foldername,Gender,Accent
0,22da883214754878af2101120bbfb2ee_-xxgeOf7Erg_128-135_0.wav,female_central,female,central
1,22da883214754878af2101120bbfb2ee_-xxgeOf7Erg_128-135_1.wav,female_central,female,central
2,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_211-255_0.wav,female_central,female,central
3,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_211-255_1.wav,female_central,female,central
4,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_211-255_10.wav,female_central,female,central
5,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_211-255_11.wav,female_central,female,central
6,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_211-255_12.wav,female_central,female,central
7,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_211-255_13.wav,female_central,female,central
8,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_211-255_14.wav,female_central,female,central
9,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_211-255_2.wav,female_central,female,central
10,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_211-255_3.wav,female_central,female,central
11,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_211-255_4.wav,female_central,female,central
12,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_211-255_5.wav,female_central,female,central
13,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_211-255_6.wav,female_central,female,central
14,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_211-255_7.wav,female_central,female,central
15,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_211-255_8.wav,female_central,female,central
16,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_211-255_9.wav,female_central,female,central
17,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_387-400_0.wav,female_central,female,central
18,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_387-400_1.wav,female_central,female,central
19,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_387-400_2.wav,female_central,female,central
20,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_387-400_3.wav,female_central,female,central
21,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_402-425_0.wav,female_central,female,central
22,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_402-425_1.wav,female_central,female,central
23,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_402-425_2.wav,female_central,female,central
24,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_402-425_3.wav,female_central,female,central
25,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_402-425_4.wav,female_central,female,central
26,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_402-425_5.wav,female_central,female,central
27,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_402-425_6.wav,female_central,female,central
28,22da883214754878af2101120bbfb2ee_0-zjMqbAdEA_402-425_7.wav,female_central,female,central
29,22da883214754878af2101120bbfb2ee_0H-xfy9IHow_514-533_0.wav,female_central,female,central
30,22da883214754878af2101120bbfb2ee_0H-xfy9IHow_514-533_1.wav,female_central,female,central
31,22da883214754878af2101120bbfb2ee_0H-xfy9IHow_514-533_2.wav,female_central,female,central
32,22da883214754878af2101120bbfb2ee_0H-xfy9IHow_514-533_3.wav,female_central,female,central
33,22da883214754878af2101120bbfb2ee_0H-xfy9IHow_514-533_4.wav,female_central,female,central
34,22da883214754878af2101120bbfb2ee_0H-xfy9IHow_514-533_5.wav,female_central,female,central
35,22da883214754878af2101120bbfb2ee_1lpHe5sqc-k_432-474_0.wav,female_central,female,central
36,22da883214754878af2101120bbfb2ee_1lpHe5sqc-k_432-474_1.wav,female_central,female,central
37,22da883214754878af2101120bbfb2ee_1lpHe5sqc-k_432-474_10.wav,female_central,female,central
38,22da883214754878af2101120bbfb2ee_1lpHe5sqc-k_432-474_11.wav,female_central,female,central
39,22da883214754878af2101120bbfb2ee_1lpHe5sqc-k_432-474_12.wav,female_central,female,central
40,22da883214754878af2101120bbfb2ee_1lpHe5sqc-k_432-474_13.wav,female_central,female,central
41,22da883214754878af2101120bbfb2ee_1lpHe5sqc-k_432-474_2.wav,female_central,female,central
42,22da883214754878af2101120bbfb2ee_1lpHe5sqc-k_432-474_3.wav,female_central,female,central
43,22da883214754878af2101120bbfb2ee_1lpHe5sqc-k_432-474_4.wav,female_central,female,central
44,22da883214754878af2101120bbfb2ee_1lpHe5sqc-k_432-474_5.wav,female_central,female,central
45,22da883214754878af2101120bbfb2ee_1lpHe5sqc-k_432-474_6.wav,female_central,female,central
46,22da883214754878af2101120bbfb2ee_1lpHe5sqc-k_432-474_7.wav,female_central,female,central
47,22da883214754878af2101120bbfb2ee_1lpHe5sqc-k_432-474_8.wav,female_central,female,central
48,22da883214754878af2101120bbfb2ee_1lpHe5sqc-k_432-474_9.wav,female_central,female,central
49,22da883214754878af2101120bbfb2ee_2A9RK_JYOJ0_265-278_0.wav,female_central,female,central
50,22da883214754878af2101120bbfb2ee_2A9RK_JYOJ0_265-278_1.wav,female_central,female,central
51,22da883214754878af2101120bbfb2ee_2A9RK_JYOJ0_265-278_2.wav,female_central,female,central
52,22da883214754878af2101120bbfb2ee_2A9RK_JYOJ0_265-278_3.wav,female_central,female,central
53,22da883214754878af2101120bbfb2ee_2M5uImVjU2o_1146-1160_0.wav,female_central,female,central
54,22da883214754878af2101120bbfb2ee_2M5uImVjU2o_1146-1160_1.wav,female_central,female,central
55,22da883214754878af2101120bbfb2ee_2M5uImVjU2o_1146-1160_2.wav,female_central,female,central
56,22da883214754878af2101120bbfb2ee_2M5uImVjU2o_1146-1160_3.wav,female_central,female,central
57,22da883214754878af2101120bbfb2ee_2M5uImVjU2o_1146-1160_4.wav,female_central,female,central
58,22da883214754878af2101120bbfb2ee_2M5uImVjU2o_1161-1177_0.wav,female_central,female,central
59,22da883214754878af2101120bbfb2ee_2M5uImVjU2o_1161-1177_1.wav,female_central,female,central
60,22da883214754878af2101120bbfb2ee_2M5uImVjU2o_1161-1177_2.wav,female_central,female,central
61,22da883214754878af2101120bbfb2ee_2M5uImVjU2o_1161-1177_3.wav,female_central,female,central
62,22da883214754878af2101120bbfb2ee_2M5uImVjU2o_1161-1177_4.wav,female_central,female,central
